,Survived,Pclass,Sex,Age,Fare,Embarked,Deck
96,0,1,1,71.0,34.6542,0,1
97,1,1,1,23.0,63.3583,0,2
98,1,2,0,34.0,23.0,2,False
99,0,2,1,34.0,26.0,2,False
100,0,3,0,28.0,7.8958,2,False
101,0,3,1,30.0,7.8958,2,False
102,0,1,1,21.0,77.2875,2,1
103,0,3,1,33.0,8.6542,2,False
104,0,3,1,37.0,7.925,2,False
105,0,3,1,28.0,7.8958,2,False
106,1,3,0,21.0,7.65,2,False
107,1,3,1,30.0,7.775,2,False
108,0,3,1,38.0,7.8958,2,False
109,1,3,0,30.0,24.15,1,False
110,0,1,1,47.0,52.0,2,1
111,0,3,0,14.5,14.4542,0,False
112,0,3,1,22.0,8.05,2,False
113,0,3,0,20.0,9.825,2,False
114,0,3,0,17.0,14.4583,0,False
115,0,3,1,21.0,7.925,2,False
116,0,3,1,70.5,7.75,1,False
117,0,2,1,29.0,21.0,2,False
118,0,1,1,24.0,247.5208,0,2
119,0,3,0,2.0,31.275,2,False
120,0,2,1,21.0,73.5,2,False
121,0,3,1,30.0,8.05,2,False
122,0,2,1,32.5,30.0708,0,False
123,1,2,0,32.5,13.0,2,1
124,0,1,1,54.0,77.2875,2,1
125,1,3,1,12.0,11.2417,0,False
126,0,3,1,30.0,7.75,1,False
127,1,3,1,24.0,7.1417,2,False
128,1,3,0,30.0,22.3583,0,2
129,0,3,1,45.0,6.975,2,False
130,0,3,1,33.0,7.8958,0,False
131,0,3,1,20.0,7.05,2,False
132,0,3,0,47.0,14.5,2,False
133,1,2,0,29.0,26.0,2,False
134,0,2,1,25.0,13.0,2,False
135,0,2,1,23.0,15.0458,0,False
136,1,1,0,19.0,26.2833,2,1
137,0,1,1,37.0,53.1,2,1
138,0,3,1,16.0,9.2167,2,False
139,0,1,1,24.0,79.2,0,1
140,0,3,0,30.0,15.2458,0,False
141,1,3,0,22.0,7.75,2,False
142,1,3,0,24.0,15.85,2,False
143,0,3,1,19.0,6.75,1,False
144,0,2,1,18.0,11.5,2,False
145,0,2,1,19.0,36.75,2,False
146,1,3,1,27.0,7.7958,2,False
147,0,3,0,9.0,34.375,2,False
148,0,2,1,36.5,26.0,2,1
149,0,2,1,42.0,13.0,2,False
150,0,2,1,51.0,12.525,2,False
151,1,1,0,22.0,66.6,2,1
152,0,3,1,55.5,8.05,2,False
153,0,3,1,40.5,14.5,2,False
154,0,3,1,30.0,7.3125,2,False
155,0,1,1,51.0,61.3792,0,False
156,1,3,0,16.0,7.7333,1,False
157,0,3,1,30.0,8.05,2,False
158,0,3,1,30.0,8.6625,2,False
159,0,3,1,30.0,69.55,2,False
160,0,3,1,44.0,16.1,2,False
161,1,2,0,40.0,15.75,2,False
162,0,3,1,26.0,7.775,2,False
163,0,3,1,17.0,8.6625,2,False
164,0,3,1,1.0,39.6875,2,False
165,1,3,1,9.0,20.525,2,False
166,1,1,0,30.0,55.0,2,1
167,0,3,0,45.0,27.9,2,False
168,0,1,1,30.0,25.925,2,False
169,0,3,1,28.0,56.4958,2,False
170,0,1,1,61.0,33.5,2,1
171,0,3,1,4.0,29.125,1,False
172,1,3,0,1.0,11.1333,2,False
173,0,3,1,21.0,7.925,2,False
174,0,1,1,56.0,30.6958,0,1
175,0,3,1,18.0,7.8542,2,False
176,0,3,1,30.0,25.4667,2,False
177,0,1,0,50.0,28.7125,0,1
178,0,2,1,30.0,13.0,2,False
179,0,3,1,36.0,0.0,2,False
180,0,3,0,30.0,69.55,2,False
181,0,2,1,30.0,15.05,0,False
182,0,3,1,9.0,31.3875,2,False
183,1,2,1,1.0,39.0,2,1
184,1,3,0,4.0,22.025,2,False
185,0,1,1,30.0,50.0,2,1
186,1,3,0,30.0,15.5,1,False
187,1,1,1,45.0,26.55,2,False
188,0,3,1,40.0,15.5,1,False
189,0,3,1,36.0,7.8958,2,False
190,1,2,0,32.0,13.0,2,False
191,0,2,1,19.0,13.0,2,False
192,1,3,0,19.0,7.8542,2,False
193,1,2,1,3.0,26.0,2,1
194,1,1,0,44.0,27.7208,0,1
195,1,1,0,58.0,146.5208,0,1
196,0,3,1,30.0,7.75,1,False
197,0,3,1,42.0,8.4042,2,False
198,1,3,0,30.0,7.75,1,False
199,0,2,0,24.0,13.0,2,False
200,0,3,1,28.0,9.5,2,False
201,0,3,1,30.0,69.55,2,False
202,0,3,1,34.0,6.4958,2,False
203,0,3,1,45.5,7.225,0,False
204,1,3,1,18.0,8.05,2,False
205,0,3,0,2.0,10.4625,2,1
206,0,3,1,32.0,15.85,2,False
207,1,3,1,26.0,18.7875,0,False
208,1,3,0,16.0,7.75,1,False
209,1,1,1,40.0,31.0,0,1
210,0,3,1,24.0,7.05,2,False
211,1,2,0,35.0,21.0,2,False
212,0,3,1,22.0,7.25,2,False
213,0,2,1,30.0,13.0,2,False
214,0,3,1,30.0,7.75,1,False
215,1,1,0,31.0,113.275,0,1
216,1,3,0,27.0,7.925,2,False
217,0,2,1,42.0,27.0,2,False
218,1,1,0,32.0,76.2917,0,1
219,0,2,1,30.0,10.5,2,False
220,1,3,1,16.0,8.05,2,False
221,0,2,1,27.0,13.0,2,False
222,0,3,1,51.0,8.05,2,False
223,0,3,1,30.0,7.8958,2,False
224,1,1,1,38.0,90.0,2,1
225,0,3,1,22.0,9.35,2,False
226,1,2,1,19.0,10.5,2,False
227,0,3,1,20.5,7.25,2,False
228,0,2,1,18.0,13.0,2,False
229,0,3,0,30.0,25.4667,2,False
230,1,1,0,35.0,83.475,2,1
231,0,3,1,29.0,7.775,2,False
232,0,2,1,59.0,13.5,2,False
233,1,3,0,5.0,31.3875,2,False
234,0,2,1,24.0,10.5,2,False
235,0,3,0,30.0,7.55,2,False
236,0,2,1,44.0,26.0,2,False
237,1,2,0,8.0,26.25,2,False
238,0,2,1,19.0,10.5,2,False
239,0,2,1,33.0,12.275,2,False
240,0,3,0,30.0,14.4542,0,False
241,1,3,0,30.0,15.5,1,False
242,0,2,1,29.0,10.5,2,False
243,0,3,1,22.0,7.125,2,False
244,0,3,1,30.0,7.225,0,False
245,0,1,1,44.0,90.0,1,1
246,0,3,0,25.0,7.775,2,False
247,1,2,0,24.0,14.5,2,False
248,1,1,1,37.0,52.5542,2,1
249,0,2,1,54.0,26.0,2,False
250,0,3,1,30.0,7.25,2,False
251,0,3,0,29.0,10.4625,2,1
252,0,1,1,62.0,26.55,2,1
253,0,3,1,30.0,16.1,2,False
254,0,3,0,41.0,20.2125,2,False
255,1,3,0,29.0,15.2458,0,False
256,1,1,0,30.0,79.2,0,False
257,1,1,0,30.0,86.5,2,1
258,1,1,0,35.0,512.3292,0,False
259,1,2,0,50.0,26.0,2,False
260,0,3,1,30.0,7.75,1,False
261,1,3,1,3.0,31.3875,2,False
262,0,1,1,52.0,79.65,2,1
263,0,1,1,40.0,0.0,2,1
264,0,3,0,30.0,7.75,1,False
265,0,2,1,36.0,10.5,2,False
266,0,3,1,16.0,39.6875,2,False
267,1,3,1,25.0,7.775,2,False
268,1,1,0,58.0,153.4625,2,1
269,1,1,0,35.0,135.6333,2,1
270,0,1,1,30.0,31.0,2,False
271,1,3,1,25.0,0.0,2,False
272,1,2,0,41.0,19.5,2,False
273,0,1,1,37.0,29.7,0,1
274,1,3,0,30.0,7.75,1,False
275,1,1,0,63.0,77.9583,2,1
276,0,3,0,45.0,7.75,2,False
277,0,2,1,30.0,0.0,2,False
278,0,3,1,7.0,29.125,1,False
279,1,3,0,35.0,20.25,2,False
280,0,3,1,65.0,7.75,1,False
281,0,3,1,28.0,7.8542,2,False
282,0,3,1,16.0,9.5,2,False
283,1,3,1,19.0,8.05,2,False
284,0,1,1,30.0,26.0,2,1
285,0,3,1,33.0,8.6625,0,False
286,1,3,1,30.0,9.5,2,False
287,0,3,1,22.0,7.8958,2,False
288,1,2,1,42.0,13.0,2,False
289,1,3,0,22.0,7.75,1,False
290,1,1,0,26.0,78.85,2,False
291,1,1,0,19.0,91.0792,0,1
292,0,2,1,36.0,12.875,0,1
293,0,3,0,24.0,8.85,2,False
294,0,3,1,24.0,7.8958,2,False
295,0,1,1,30.0,27.7208,0,False
296,0,3,1,23.5,7.2292,0,False
297,0,1,0,2.0,151.55,2,2
298,1,1,1,30.0,30.5,2,1
299,1,1,0,50.0,247.5208,0,2
300,1,3,0,30.0,7.75,1,False
301,1,3,1,30.0,23.25,1,False
302,0,3,1,19.0,0.0,2,False
303,1,2,0,30.0,12.35,1,1
304,0,3,1,30.0,8.05,2,False
305,1,1,1,0.92,151.55,2,2
306,1,1,0,30.0,110.8833,0,False
307,1,1,0,17.0,108.9,0,1
308,0,2,1,30.0,24.0,0,False
309,1,1,0,30.0,56.9292,0,1
310,1,1,0,24.0,83.1583,0,1
311,1,1,0,18.0,262.375,0,4
312,0,2,0,26.0,26.0,2,False
313,0,3,1,28.0,7.8958,2,False
314,0,2,1,43.0,26.25,2,False
315,1,3,0,26.0,7.8542,2,False
316,1,2,0,24.0,26.0,2,False
317,0,2,1,54.0,14.0,2,False
318,1,1,0,31.0,164.8667,2,1
319,1,1,0,40.0,134.5,0,1
320,0,3,1,22.0,7.25,2,False
321,0,3,1,27.0,7.8958,2,False
322,1,2,0,30.0,12.35,1,False
323,1,2,0,22.0,29.0,2,False
324,0,3,1,30.0,69.55,2,False
325,1,1,0,36.0,135.6333,0,1
326,0,3,1,61.0,6.2375,2,False
327,1,2,0,36.0,13.0,2,1
328,1,3,0,31.0,20.525,2,False
329,1,1,0,16.0,57.9792,0,1
330,1,3,0,30.0,23.25,1,False
331,0,1,1,45.5,28.5,2,1
332,0,1,1,38.0,153.4625,2,1
333,0,3,1,16.0,18.0,2,False
334,1,1,0,30.0,133.65,2,False
335,0,3,1,30.0,7.8958,2,False
336,0,1,1,29.0,66.6,2,1
337,1,1,0,41.0,134.5,0,1
338,1,3,1,45.0,8.05,2,False
339,0,1,1,45.0,35.5,2,1
340,1,2,1,2.0,26.0,2,1
341,1,1,0,24.0,263.0,2,3
342,0,2,1,28.0,13.0,2,False
343,0,2,1,25.0,13.0,2,False
344,0,2,1,36.0,13.0,2,False
345,1,2,0,24.0,13.0,2,1
346,1,2,0,40.0,13.0,2,False
347,1,3,0,30.0,16.1,2,False
348,1,3,1,3.0,15.9,2,False
349,0,3,1,42.0,8.6625,2,False
350,0,3,1,23.0,9.225,2,False
351,0,1,1,30.0,35.0,2,1
352,0,3,1,15.0,7.2292,0,False
353,0,3,1,25.0,17.8,2,False
354,0,3,1,30.0,7.225,0,False
355,0,3,1,28.0,9.5,2,False
356,1,1,0,22.0,55.0,2,1
357,0,2,0,38.0,13.0,2,False
358,1,3,0,30.0,7.8792,1,False
359,1,3,0,30.0,7.8792,1,False
360,0,3,1,40.0,27.9,2,False
361,0,2,1,29.0,27.7208,0,False
362,0,3,0,45.0,14.4542,0,False
363,0,3,1,35.0,7.05,2,False
364,0,3,1,30.0,15.5,1,False
365,0,3,1,30.0,7.25,2,False
366,1,1,0,60.0,75.25,0,1
367,1,3,0,30.0,7.2292,0,False
368,1,3,0,30.0,7.75,1,False
369,1,1,0,24.0,69.3,0,1
370,1,1,1,25.0,55.4417,0,1
371,0,3,1,18.0,6.4958,2,False
372,0,3,1,19.0,8.05,2,False
373,0,1,1,22.0,135.6333,0,False
374,0,3,0,3.0,21.075,2,False
375,1,1,0,30.0,82.1708,0,False
376,1,3,0,22.0,7.25,2,False
377,0,1,1,27.0,211.5,0,1
378,0,3,1,20.0,4.0125,0,False
379,0,3,1,19.0,7.775,2,False
380,1,1,0,42.0,227.525,0,False
381,1,3,0,1.0,15.7417,0,False
382,0,3,1,32.0,7.925,2,False
383,1,1,0,35.0,52.0,2,False
384,0,3,1,30.0,7.8958,2,False
385,0,2,1,18.0,73.5,2,False
386,0,3,1,1.0,46.9,2,False
387,1,2,0,36.0,13.0,2,False
388,0,3,1,30.0,7.7292,1,False
389,1,2,0,17.0,12.0,0,False
390,1,1,1,36.0,120.0,2,2
391,1,3,1,21.0,7.7958,2,False
392,0,3,1,28.0,7.925,2,False
393,1,1,0,23.0,113.275,0,1
394,1,3,0,24.0,16.7,2,1
395,0,3,1,22.0,7.7958,2,False
396,0,3,0,31.0,7.8542,2,False
397,0,2,1,46.0,26.0,2,False
398,0,2,1,23.0,10.5,2,False
399,1,2,0,28.0,12.65,2,False
400,1,3,1,39.0,7.925,2,False
401,0,3,1,26.0,8.05,2,False
402,0,3,0,21.0,9.825,2,False
403,0,3,1,28.0,15.85,2,False
404,0,3,0,20.0,8.6625,2,False
405,0,2,1,34.0,21.0,2,False
406,0,3,1,51.0,7.75,2,False
407,1,2,1,3.0,18.75,2,False
408,0,3,1,21.0,7.775,2,False
409,0,3,0,30.0,25.4667,2,False
410,0,3,1,30.0,7.8958,2,False
411,0,3,1,30.0,6.8583,1,False
412,1,1,0,33.0,90.0,1,1
413,0,2,1,30.0,0.0,2,False
414,1,3,1,44.0,7.925,2,False
415,0,3,0,30.0,8.05,2,False
416,1,2,0,34.0,32.5,2,False
417,1,2,0,18.0,13.0,2,False
418,0,2,1,30.0,13.0,2,False
419,0,3,0,10.0,24.15,2,False
420,0,3,1,30.0,7.8958,0,False
421,0,3,1,21.0,7.7333,1,False
422,0,3,1,29.0,7.875,2,False
423,0,3,0,28.0,14.4,2,False
424,0,3,1,18.0,20.2125,2,False
425,0,3,1,30.0,7.25,2,False
426,1,2,0,28.0,26.0,2,False
427,1,2,0,19.0,26.0,2,False
428,0,3,1,30.0,7.75,1,False
429,1,3,1,32.0,8.05,2,1
430,1,1,1,28.0,26.55,2,1
431,1,3,0,30.0,16.1,2,False
432,1,2,0,42.0,26.0,2,False
433,0,3,1,17.0,7.125,2,False
434,0,1,1,50.0,55.9,2,1
435,1,1,0,14.0,120.0,2,2
436,0,3,0,21.0,34.375,2,False
437,1,2,0,24.0,18.75,2,False
438,0,1,1,64.0,263.0,2,3
439,0,2,1,31.0,10.5,2,False
440,1,2,0,45.0,26.25,2,False
441,0,3,1,20.0,9.5,2,False
442,0,3,1,25.0,7.775,2,False
443,1,2,0,28.0,13.0,2,False
444,1,3,1,30.0,8.1125,2,False
445,1,1,1,4.0,81.8583,2,1
446,1,2,0,13.0,19.5,2,False
447,1,1,1,34.0,26.55,2,False
448,1,3,0,5.0,19.2583,0,False
449,1,1,1,52.0,30.5,2,1
450,0,2,1,36.0,27.75,2,False
451,0,3,1,30.0,19.9667,2,False
452,0,1,1,30.0,27.75,0,1
453,1,1,1,49.0,89.1042,0,1
454,0,3,1,30.0,8.05,2,False
455,1,3,1,29.0,7.8958,0,False
456,0,1,1,65.0,26.55,2,1
457,1,1,0,30.0,51.8625,2,1
458,1,2,0,50.0,10.5,2,False
459,0,3,1,30.0,7.75,1,False
460,1,1,1,48.0,26.55,2,1
461,0,3,1,34.0,8.05,2,False
462,0,1,1,47.0,38.5,2,1
463,0,2,1,48.0,13.0,2,False
464,0,3,1,30.0,8.05,2,False
465,0,3,1,38.0,7.05,2,False
466,0,2,1,30.0,0.0,2,False
467,0,1,1,56.0,26.55,2,False
468,0,3,1,30.0,7.725,1,False
469,1,3,0,0.75,19.2583,0,False
470,0,3,1,30.0,7.25,2,False
471,0,3,1,38.0,8.6625,2,False
472,1,2,0,33.0,27.75,2,False
473,1,2,0,23.0,13.7917,0,1
474,0,3,0,22.0,9.8375,2,False
475,0,1,1,30.0,52.0,2,1
476,0,2,1,34.0,21.0,2,False
477,0,3,1,29.0,7.0458,2,False
478,0,3,1,22.0,7.5208,2,False
479,1,3,0,2.0,12.2875,2,False
480,0,3,1,9.0,46.9,2,False
481,0,2,1,30.0,0.0,2,False
482,0,3,1,50.0,8.05,2,False
483,1,3,0,63.0,9.5875,2,False
484,1,1,1,25.0,91.0792,0,1
485,0,3,0,30.0,25.4667,2,False
486,1,1,0,35.0,90.0,2,1
487,0,1,1,58.0,29.7,0,1
488,0,3,1,30.0,8.05,2,False
489,1,3,1,9.0,15.9,2,False
490,0,3,1,30.0,19.9667,2,False
491,0,3,1,21.0,7.25,2,False
492,0,1,1,55.0,30.5,2,1
493,0,1,1,71.0,49.5042,0,False
494,0,3,1,21.0,8.05,2,False
495,0,3,1,30.0,14.4583,0,False
496,1,1,0,54.0,78.2667,0,1
497,0,3,1,30.0,15.1,2,False
498,0,1,0,25.0,151.55,2,2
499,0,3,1,24.0,7.7958,2,False
500,0,3,1,17.0,8.6625,2,False
501,0,3,0,21.0,7.75,1,False
502,0,3,0,30.0,7.6292,1,False
503,0,3,0,37.0,9.5875,2,False
504,1,1,0,16.0,86.5,2,1
505,0,1,1,18.0,108.9,0,1
506,1,2,0,33.0,26.0,2,False
507,1,1,1,30.0,26.55,2,False
508,0,3,1,28.0,22.525,2,False
509,1,3,1,26.0,56.4958,2,False
510,1,3,1,29.0,7.75,1,False
511,0,3,1,30.0,8.05,2,False
512,1,1,1,36.0,26.2875,2,1
513,1,1,0,54.0,59.4,0,False
514,0,3,1,24.0,7.4958,2,False
515,0,1,1,47.0,34.0208,2,1
516,1,2,0,34.0,10.5,2,1
517,0,3,1,30.0,24.15,1,False
518,1,2,0,36.0,26.0,2,False
519,0,3,1,32.0,7.8958,2,False
520,1,1,0,30.0,93.5,2,1
521,0,3,1,22.0,7.8958,2,False
522,0,3,1,30.0,7.225,0,False
523,1,1,0,44.0,57.9792,0,1
524,0,3,1,30.0,7.2292,0,False
525,0,3,1,40.5,7.75,1,False
526,1,2,0,50.0,10.5,2,False
527,0,1,1,30.0,221.7792,2,1
528,0,3,1,39.0,7.925,2,False
529,0,2,1,23.0,11.5,2,False
530,1,2,0,2.0,26.0,2,False
531,0,3,1,30.0,7.2292,0,False
532,0,3,1,17.0,7.2292,0,False
533,1,3,0,30.0,22.3583,0,False
534,0,3,0,30.0,8.6625,2,False
535,1,2,0,7.0,26.25,2,False
536,0,1,1,45.0,26.55,2,1
537,1,1,0,30.0,106.425,0,False
538,0,3,1,30.0,14.5,2,False
539,1,1,0,22.0,49.5,0,1
540,1,1,0,36.0,71.0,2,1
541,0,3,0,9.0,31.275,2,False
542,0,3,0,11.0,31.275,2,False
543,1,2,1,32.0,26.0,2,False
544,0,1,1,50.0,106.425,0,1
545,0,1,1,64.0,26.0,2,False
546,1,2,0,19.0,26.0,2,False
547,1,2,1,30.0,13.8625,0,False
548,0,3,1,33.0,20.525,2,False
549,1,2,1,8.0,36.75,2,False
550,1,1,1,17.0,110.8833,0,1
551,0,2,1,27.0,26.0,2,False
552,0,3,1,30.0,7.8292,1,False
553,1,3,1,22.0,7.225,0,False
554,1,3,0,22.0,7.775,2,False
555,0,1,1,62.0,26.55,2,False
556,1,1,0,48.0,39.6,0,1
557,0,1,1,30.0,227.525,0,False
558,1,1,0,39.0,79.65,2,1
559,1,3,0,36.0,17.4,2,False
560,0,3,1,30.0,7.75,1,False
561,0,3,1,40.0,7.8958,2,False
562,0,2,1,28.0,13.5,2,False
563,0,3,1,30.0,8.05,2,False
564,0,3,0,30.0,8.05,2,False
565,0,3,1,24.0,24.15,2,False
566,0,3,1,19.0,7.8958,2,False
567,0,3,0,29.0,21.075,2,False
568,0,3,1,30.0,7.2292,0,False
569,1,3,1,32.0,7.8542,2,False
570,1,2,1,62.0,10.5,2,False
571,1,1,0,53.0,51.4792,2,1
572,1,1,1,36.0,26.3875,2,1
573,1,3,0,30.0,7.75,1,False
574,0,3,1,16.0,8.05,2,False
575,0,3,1,19.0,14.5,2,False
576,1,2,0,34.0,13.0,2,False
577,1,1,0,39.0,55.9,2,1
578,0,3,0,30.0,14.4583,0,False
579,1,3,1,32.0,7.925,2,False
580,1,2,0,25.0,30.0,2,False
581,1,1,0,39.0,110.8833,0,1
582,0,2,1,54.0,26.0,2,False
583,0,1,1,36.0,40.125,0,1
584,0,3,1,30.0,8.7125,0,False
585,1,1,0,18.0,79.65,2,1
586,0,2,1,47.0,15.0,2,False
587,1,1,1,60.0,79.2,0,1
588,0,3,1,22.0,8.05,2,False
589,0,3,1,30.0,8.05,2,False
590,0,3,1,35.0,7.125,2,False
591,1,1,0,52.0,78.2667,0,1
592,0,3,1,47.0,7.25,2,False
593,0,3,0,30.0,7.75,1,False
594,0,2,1,37.0,26.0,2,False
595,0,3,1,36.0,24.15,2,False
596,1,2,0,30.0,33.0,2,False
597,0,3,1,49.0,0.0,2,False
598,0,3,1,30.0,7.225,0,False
599,1,1,1,49.0,56.9292,0,1
600,1,2,0,24.0,27.0,2,False
601,0,3,1,30.0,7.8958,2,False
602,0,1,1,30.0,42.4,2,False
603,0,3,1,44.0,8.05,2,False
604,1,1,1,35.0,26.55,0,False
605,0,3,1,36.0,15.55,2,False
606,0,3,1,30.0,7.8958,2,False
607,1,1,1,27.0,30.5,2,False
608,1,2,0,22.0,41.5792,0,False
609,1,1,0,40.0,153.4625,2,1
610,0,3,0,39.0,31.275,2,False
611,0,3,1,30.0,7.05,2,False
612,1,3,0,30.0,15.5,1,False
613,0,3,1,30.0,7.75,1,False
614,0,3,1,35.0,8.05,2,False
615,1,2,0,24.0,65.0,2,False
616,0,3,1,34.0,14.4,2,False
617,0,3,0,26.0,16.1,2,False
618,1,2,0,4.0,39.0,2,1
619,0,2,1,26.0,10.5,2,False
620,0,3,1,27.0,14.4542,0,False
621,1,1,1,42.0,52.5542,2,1
622,1,3,1,20.0,15.7417,0,False
623,0,3,1,21.0,7.8542,2,False
624,0,3,1,21.0,16.1,2,False
625,0,1,1,61.0,32.3208,2,1
626,0,2,1,57.0,12.35,1,False
627,1,1,0,21.0,77.9583,2,1
628,0,3,1,26.0,7.8958,2,False
629,0,3,1,30.0,7.7333,1,False
630,1,1,1,80.0,30.0,2,1
631,0,3,1,51.0,7.0542,2,False
632,1,1,1,32.0,30.5,0,1
633,0,1,1,30.0,0.0,2,False
634,0,3,0,9.0,27.9,2,False
635,1,2,0,28.0,13.0,2,False
636,0,3,1,32.0,7.925,2,False
637,0,2,1,31.0,26.25,2,False
638,0,3,0,41.0,39.6875,2,False
639,0,3,1,30.0,16.1,2,False
640,0,3,1,20.0,7.8542,2,False
641,1,1,0,24.0,69.3,0,1
642,0,3,0,2.0,27.9,2,False
643,1,3,1,30.0,56.4958,2,False
644,1,3,0,0.75,19.2583,0,False
645,1,1,1,48.0,76.7292,0,1
646,0,3,1,19.0,7.8958,2,False
647,1,1,1,56.0,35.5,0,1
648,0,3,1,30.0,7.55,2,False
649,1,3,0,23.0,7.55,2,False
650,0,3,1,30.0,7.8958,2,False
651,1,2,0,18.0,23.0,2,False
652,0,3,1,21.0,8.4333,2,False
653,1,3,0,30.0,7.8292,1,False
654,0,3,0,18.0,6.75,1,False
655,0,2,1,24.0,73.5,2,False
656,0,3,1,30.0,7.8958,2,False
657,0,3,0,32.0,15.5,1,False
658,0,2,1,23.0,13.0,2,False
659,0,1,1,58.0,113.275,0,1
660,1,1,1,50.0,133.65,2,False
661,0,3,1,40.0,7.225,0,False
662,0,1,1,47.0,25.5875,2,1
663,0,3,1,36.0,7.4958,2,False
664,1,3,1,20.0,7.925,2,False
665,0,2,1,32.0,73.5,2,False
666,0,2,1,25.0,13.0,2,False
667,0,3,1,30.0,7.775,2,False
668,0,3,1,43.0,8.05,2,False
669,1,1,0,30.0,52.0,2,1
670,1,2,0,40.0,39.0,2,False
671,0,1,1,31.0,52.0,2,1
672,0,2,1,70.0,10.5,2,False
673,1,2,1,31.0,13.0,2,False
674,0,2,1,30.0,0.0,2,False
675,0,3,1,18.0,7.775,2,False
676,0,3,1,24.5,8.05,2,False
677,1,3,0,18.0,9.8417,2,False
678,0,3,0,43.0,46.9,2,False
679,1,1,1,36.0,512.3292,0,3
680,0,3,0,30.0,8.1375,1,False
681,1,1,1,27.0,76.7292,0,1
682,0,3,1,20.0,9.225,2,False
683,0,3,1,14.0,46.9,2,False
684,0,2,1,60.0,39.0,2,False
685,0,2,1,25.0,41.5792,0,False
